Run,AGE,Assay Type,AvgSpotLen,Bases,BIOMATERIAL_PROVIDER,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,isolate,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,create_date,version,Sample Name,sample_type,sex,SRA Study,tissue,cell_type,cell_line
SRR8981848,adult,WGA,302,15094221834,"Xie Lab\, CCB\, Harvard",PRJNA533595,SAMN11461860,Human,6968883651,HARVARD UNIVERSITY,public,"fastq,sra,run.zq","gs,ncbi,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX5761404,Illumina HiSeq 4000,donor 1,347HB1-27-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Peripheral Blood Mononuclear Cell 44 (347HB1-27),2019-04-28T17:14:00Z,1,347HB1-27,single cell,male,SRP194057,blood,peripheral blood mononuclear cell,
SRR8981849,adult,WGA,500,17515062000,"Xie Lab\, CCB\, Harvard",PRJNA533595,SAMN11461829,Human,9148136900,HARVARD UNIVERSITY,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX5761403,Illumina HiSeq 2500,donor 1,348HB2-13-A,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Peripheral Blood Mononuclear Cell 13 (348HB2-13),2019-04-28T17:02:00Z,1,348HB2-13,single cell,male,SRP194057,blood,peripheral blood mononuclear cell,
SRR8981850,adult,WGA,500,30754081500,"Xie Lab\, CCB\, Harvard",PRJNA533595,SAMN11461822,Human,18668738610,HARVARD UNIVERSITY,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX5761402,Illumina HiSeq 2500,donor 1,340-15-A,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Peripheral Blood Mononuclear Cell 6 (340-15),2019-04-28T17:22:00Z,1,340-15,single cell,male,SRP194057,blood,peripheral blood mononuclear cell,
SRR8981851,adult,WGA,500,7117357500,Horizon Discovery,PRJNA533595,SAMN11461746,Human,4321959933,HARVARD UNIVERSITY,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX5761401,Illumina HiSeq 2500,cell line,349HAP1-9-A,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,eHAP 5 Day Cell 10 (349HAP1-9),2019-04-28T16:53:00Z,1,349HAP1-9,single cell,male,SRP194057,leukemia,,eHAP
SRR8981852,adult,WGA,500,22542355500,"NIH NeuroBioBank at the University of Maryland\, Baltimore\, MD",PRJNA533595,SAMN11461797,Human,11492391823,HARVARD UNIVERSITY,public,"run.zq,fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX5761400,Illumina HiSeq 2500,donor 3,363-12-A,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Brain 2 Prefrontal Cortex Neuron Cell 3 (363-12),2019-04-28T17:11:00Z,1,363-12,single cell,male,SRP194057,prefrontal cortex,neuron,
SRR8981853,adult,WGS,302,101439707442,"NIH NeuroBioBank at the University of Maryland\, Baltimore\, MD",PRJNA533595,SAMN11461874,Human,45853381380,HARVARD UNIVERSITY,public,"run.zq,sra,fastq","ncbi,gs,s3","ncbi.public,gs.us-east1,s3.us-east-1",SRX5761399,Illumina HiSeq 4000,donor 3,363,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Brain 2 Prefrontal Cortex Bulk (363),2019-04-28T20:07:00Z,1,363,tissue sample,male,SRP194057,prefrontal cortex,neuron,
SRR8981854,adult,WGA,500,6517456500,Horizon Discovery,PRJNA533595,SAMN11461745,Human,3879091573,HARVARD UNIVERSITY,public,"sra,fastq,run.zq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX5761398,Illumina HiSeq 2500,cell line,349HAP1-8-A,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,eHAP 5 Day Cell 9 (349HAP1-8),2019-04-28T16:52:00Z,1,349HAP1-8,single cell,male,SRP194057,leukemia,,eHAP
SRR8981855,adult,WGA,302,16113241710,"NIH NeuroBioBank at the University of Maryland\, Baltimore\, MD",PRJNA533595,SAMN11461816,Human,7139333885,HARVARD UNIVERSITY,public,"run.zq,fastq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX5761397,Illumina HiSeq 4000,donor 4,364-9-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Brain 3 Prefrontal Cortex Neuron Cell 11 (364-9),2019-04-28T17:09:00Z,1,364-9,single cell,female,SRP194057,prefrontal cortex,neuron,
SRR8981856,adult,WGA,500,23055002000,"NIH NeuroBioBank at the University of Maryland\, Baltimore\, MD",PRJNA533595,SAMN11461798,Human,11883096270,HARVARD UNIVERSITY,public,"fastq,run.zq,sra","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX5761396,Illumina HiSeq 2500,donor 3,363-2-A,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Brain 2 Prefrontal Cortex Neuron Cell 4 (363-2),2019-04-28T17:09:00Z,1,363-2,single cell,male,SRP194057,prefrontal cortex,neuron,
SRR8981857,adult,WGA,302,9826538212,"Xie Lab\, CCB\, Harvard",PRJNA533595,SAMN11461817,Human,4779529615,HARVARD UNIVERSITY,public,"run.zq,fastq,sra","s3,ncbi,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX5761395,Illumina HiSeq 4000,donor 1,347HB1-1-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Peripheral Blood Mononuclear Cell 1 (347HB1-1),2019-04-28T16:59:00Z,1,347HB1-1,single cell,male,SRP194057,blood,peripheral blood mononuclear cell,
SRR8981858,adult,WGA,500,20513991000,"NIH NeuroBioBank at the University of Maryland\, Baltimore\, MD",PRJNA533595,SAMN11461816,Human,10532862261,HARVARD UNIVERSITY,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX5761394,Illumina HiSeq 2500,donor 4,364-9-A,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Brain 3 Prefrontal Cortex Neuron Cell 11 (364-9),2019-04-28T17:12:00Z,1,364-9,single cell,female,SRP194057,prefrontal cortex,neuron,
SRR8981859,adult,WGA,500,19574967000,"NIH NeuroBioBank at the University of Maryland\, Baltimore\, MD",PRJNA533595,SAMN11461799,Human,10273888674,HARVARD UNIVERSITY,public,"run.zq,sra,fastq","ncbi,s3,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX5761393,Illumina HiSeq 2500,donor 3,363-3-A,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Brain 2 Prefrontal Cortex Neuron Cell 5 (363-3),2019-04-28T17:07:00Z,1,363-3,single cell,male,SRP194057,prefrontal cortex,neuron,
SRR8981860,adult,WGA,500,10344535000,"Xie Lab\, CCB\, Harvard",PRJNA533595,SAMN11461825,Human,6084531080,HARVARD UNIVERSITY,public,"run.zq,sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX5761392,Illumina HiSeq 2500,donor 1,347HB1-16-A,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Peripheral Blood Mononuclear Cell 9 (347HB1-16),2019-04-28T16:57:00Z,1,347HB1-16,single cell,male,SRP194057,blood,peripheral blood mononuclear cell,
SRR8981861,adult,WGA,500,10286119000,"Xie Lab\, CCB\, Harvard",PRJNA533595,SAMN11461826,Human,6030219134,HARVARD UNIVERSITY,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX5761391,Illumina HiSeq 2500,donor 1,347HB1-22-A,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Peripheral Blood Mononuclear Cell 10 (347HB1-22),2019-04-28T16:57:00Z,1,347HB1-22,single cell,male,SRP194057,blood,peripheral blood mononuclear cell,
SRR8981862,adult,WGA,302,17775606146,"Xie Lab\, CCB\, Harvard",PRJNA533595,SAMN11461833,Human,8432315886,HARVARD UNIVERSITY,public,"fastq,sra,run.zq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX5761390,Illumina HiSeq 4000,donor 1,348HB2-5-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Peripheral Blood Mononuclear Cell 17 (348HB2-5),2019-04-28T17:16:00Z,1,348HB2-5,single cell,male,SRP194057,blood,peripheral blood mononuclear cell,
SRR8981863,adult,WGA,302,13481181548,"Xie Lab\, CCB\, Harvard",PRJNA533595,SAMN11461832,Human,6267453474,HARVARD UNIVERSITY,public,"sra,run.zq,fastq","s3,ncbi,gs","gs.us-east1,ncbi.public,s3.us-east-1",SRX5761389,Illumina HiSeq 4000,donor 1,347HB1-6-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Peripheral Blood Mononuclear Cell 16 (347HB1-6),2019-04-28T17:07:00Z,1,347HB1-6,single cell,male,SRP194057,blood,peripheral blood mononuclear cell,
SRR8981864,adult,WGA,500,20085267500,"NIH NeuroBioBank at the University of Maryland\, Baltimore\, MD",PRJNA533595,SAMN11461800,Human,10185643185,HARVARD UNIVERSITY,public,"run.zq,sra,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5761388,Illumina HiSeq 2500,donor 3,363-4-A,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Brain 2 Prefrontal Cortex Neuron Cell 6 (363-4),2019-04-28T17:04:00Z,1,363-4,single cell,male,SRP194057,prefrontal cortex,neuron,
SRR8981865,adult,WGA,302,16177999268,"Xie Lab\, CCB\, Harvard",PRJNA533595,SAMN11461829,Human,7668640511,HARVARD UNIVERSITY,public,"fastq,run.zq,sra","gs,s3,ncbi","gs.us-east1,ncbi.public,s3.us-east-1",SRX5761387,Illumina HiSeq 4000,donor 1,348HB2-13-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Peripheral Blood Mononuclear Cell 13 (348HB2-13),2019-04-28T17:10:00Z,1,348HB2-13,single cell,male,SRP194057,blood,peripheral blood mononuclear cell,
SRR8981866,adult,WGA,302,12346504430,"Xie Lab\, CCB\, Harvard",PRJNA533595,SAMN11461828,Human,5791666993,HARVARD UNIVERSITY,public,"sra,run.zq,fastq","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX5761386,Illumina HiSeq 4000,donor 1,347HB1-9-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Peripheral Blood Mononuclear Cell 12 (347HB1-9),2019-04-28T17:05:00Z,1,347HB1-9,single cell,male,SRP194057,blood,peripheral blood mononuclear cell,
SRR8981867,adult,WGA,302,18552568794,"Xie Lab\, CCB\, Harvard",PRJNA533595,SAMN11461831,Human,8750885226,HARVARD UNIVERSITY,public,"run.zq,fastq,sra","ncbi,s3,gs","ncbi.public,gs.us-east1,s3.us-east-1",SRX5761385,Illumina HiSeq 4000,donor 1,348HB2-22-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Peripheral Blood Mononuclear Cell 15 (348HB2-22),2019-04-28T17:13:00Z,1,348HB2-22,single cell,male,SRP194057,blood,peripheral blood mononuclear cell,
SRR8981868,adult,WGA,302,13439783992,"Xie Lab\, CCB\, Harvard",PRJNA533595,SAMN11461830,Human,6408379923,HARVARD UNIVERSITY,public,"fastq,sra,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX5761384,Illumina HiSeq 4000,donor 1,348HB2-20-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Peripheral Blood Mononuclear Cell 14 (348HB2-20),2019-04-28T17:08:00Z,1,348HB2-20,single cell,male,SRP194057,blood,peripheral blood mononuclear cell,
SRR8981869,adult,WGA,302,14457840790,"Xie Lab\, CCB\, Harvard",PRJNA533595,SAMN11461825,Human,6790487611,HARVARD UNIVERSITY,public,"fastq,sra,run.zq","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX5761383,Illumina HiSeq 4000,donor 1,347HB1-16-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Peripheral Blood Mononuclear Cell 9 (347HB1-16),2019-04-28T17:10:00Z,1,347HB1-16,single cell,male,SRP194057,blood,peripheral blood mononuclear cell,
SRR8981870,adult,WGA,302,14178485958,"Xie Lab\, CCB\, Harvard",PRJNA533595,SAMN11461824,Human,6626176972,HARVARD UNIVERSITY,public,"sra,run.zq,fastq","s3,ncbi,gs","s3.us-east-1,gs.us-east1,ncbi.public",SRX5761382,Illumina HiSeq 4000,donor 1,347HB1-13-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Peripheral Blood Mononuclear Cell 8 (347HB1-13),2019-04-28T17:09:00Z,1,347HB1-13,single cell,male,SRP194057,blood,peripheral blood mononuclear cell,
SRR8981871,adult,WGA,302,17570783706,"Xie Lab\, CCB\, Harvard",PRJNA533595,SAMN11461827,Human,8073607016,HARVARD UNIVERSITY,public,"sra,run.zq,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX5761381,Illumina HiSeq 4000,donor 1,347HB1-25-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Peripheral Blood Mononuclear Cell 11 (347HB1-25),2019-04-28T17:15:00Z,1,347HB1-25,single cell,male,SRP194057,blood,peripheral blood mononuclear cell,
SRR8981872,adult,WGA,302,15735289616,"Xie Lab\, CCB\, Harvard",PRJNA533595,SAMN11461826,Human,7359601141,HARVARD UNIVERSITY,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX5761380,Illumina HiSeq 4000,donor 1,347HB1-22-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Peripheral Blood Mononuclear Cell 10 (347HB1-22),2019-04-28T17:15:00Z,1,347HB1-22,single cell,male,SRP194057,blood,peripheral blood mononuclear cell,
SRR8981873,adult,WGA,500,22908002000,"NIH NeuroBioBank at the University of Maryland\, Baltimore\, MD",PRJNA533595,SAMN11461802,Human,11616916065,HARVARD UNIVERSITY,public,"sra,run.zq,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.us-east1",SRX5761379,Illumina HiSeq 2500,donor 3,363-6-A,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Brain 2 Prefrontal Cortex Neuron Cell 8 (363-6),2019-04-28T17:12:00Z,1,363-6,single cell,male,SRP194057,prefrontal cortex,neuron,
SRR8981874,adult,WGA,302,14907969978,"Xie Lab\, CCB\, Harvard",PRJNA533595,SAMN11461845,Human,7114892611,HARVARD UNIVERSITY,public,"run.zq,sra,fastq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",SRX5761378,Illumina HiSeq 4000,donor 1,348HB2-16-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Peripheral Blood Mononuclear Cell 29 (348HB2-16),2019-04-28T17:05:00Z,1,348HB2-16,single cell,male,SRP194057,blood,peripheral blood mononuclear cell,
SRR8981875,adult,WGA,500,6766459500,Horizon Discovery,PRJNA533595,SAMN11461744,Human,4012058370,HARVARD UNIVERSITY,public,"sra,fastq,run.zq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.us-east1",SRX5761377,Illumina HiSeq 2500,cell line,349HAP1-7-A,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,eHAP 5 Day Cell 8 (349HAP1-7),2019-04-28T16:53:00Z,1,349HAP1-7,single cell,male,SRP194057,leukemia,,eHAP
SRR8981876,adult,WGA,302,13556388910,"Xie Lab\, CCB\, Harvard",PRJNA533595,SAMN11461822,Human,6791920074,HARVARD UNIVERSITY,public,"run.zq,sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.us-east1",SRX5761376,Illumina HiSeq 4000,donor 1,340-15-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Peripheral Blood Mononuclear Cell 6 (340-15),2019-04-28T17:08:00Z,1,340-15,single cell,male,SRP194057,blood,peripheral blood mononuclear cell,
SRR8981877,adult,WGA,500,23953381000,"NIH NeuroBioBank at the University of Maryland\, Baltimore\, MD",PRJNA533595,SAMN11461815,Human,12380660729,HARVARD UNIVERSITY,public,"fastq,sra,run.zq","ncbi,s3,gs","gs.us-east1,s3.us-east-1,ncbi.public",SRX5761375,Illumina HiSeq 2500,donor 4,364-8-A,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Brain 3 Prefrontal Cortex Neuron Cell 10 (364-8),2019-04-28T17:10:00Z,1,364-8,single cell,female,SRP194057,prefrontal cortex,neuron,
SRR8981878,adult,WGA,302,11816555132,"Xie Lab\, CCB\, Harvard",PRJNA533595,SAMN11461844,Human,5595852056,HARVARD UNIVERSITY,public,"sra,fastq,run.zq","gs,ncbi,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX5761374,Illumina HiSeq 4000,donor 1,348HB2-10-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Peripheral Blood Mononuclear Cell 28 (348HB2-10),2019-04-28T17:04:00Z,1,348HB2-10,single cell,male,SRP194057,blood,peripheral blood mononuclear cell,
SRR8981879,adult,WGA,302,15159977804,"Xie Lab\, CCB\, Harvard",PRJNA533595,SAMN11461823,Human,7178253665,HARVARD UNIVERSITY,public,"sra,run.zq,fastq","gs,s3,ncbi","s3.us-east-1,gs.us-east1,ncbi.public",SRX5761373,Illumina HiSeq 4000,donor 1,347HB1-11-B,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Peripheral Blood Mononuclear Cell 7 (347HB1-11),2019-04-28T17:12:00Z,1,347HB1-11,single cell,male,SRP194057,blood,peripheral blood mononuclear cell,
SRR8981880,adult,WGA,500,19673906500,"NIH NeuroBioBank at the University of Maryland\, Baltimore\, MD",PRJNA533595,SAMN11461805,Human,10064380356,HARVARD UNIVERSITY,public,"fastq,run.zq,sra","s3,gs,ncbi","s3.us-east-1,ncbi.public,gs.us-east1",SRX5761372,Illumina HiSeq 2500,donor 3,363-9-A,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Brain 2 Prefrontal Cortex Neuron Cell 11 (363-9),2019-04-28T17:08:00Z,1,363-9,single cell,male,SRP194057,prefrontal cortex,neuron,
SRR8981881,adult,WGA,500,20717875500,"NIH NeuroBioBank at the University of Maryland\, Baltimore\, MD",PRJNA533595,SAMN11461804,Human,10549092257,HARVARD UNIVERSITY,public,"sra,run.zq,fastq","s3,gs,ncbi","gs.us-east1,s3.us-east-1,ncbi.public",SRX5761371,Illumina HiSeq 2500,donor 3,363-8-A,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Brain 2 Prefrontal Cortex Neuron Cell 10 (363-8),2019-04-28T17:09:00Z,1,363-8,single cell,male,SRP194057,prefrontal cortex,neuron,
SRR8981882,adult,WGA,500,8863396500,"Xie Lab\, CCB\, Harvard",PRJNA533595,SAMN11461828,Human,5192807370,HARVARD UNIVERSITY,public,"sra,fastq,run.zq","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX5761370,Illumina HiSeq 2500,donor 1,347HB1-9-A,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Peripheral Blood Mononuclear Cell 12 (347HB1-9),2019-04-28T16:55:00Z,1,347HB1-9,single cell,male,SRP194057,blood,peripheral blood mononuclear cell,
SRR8981883,adult,WGA,500,21721003000,"NIH NeuroBioBank at the University of Maryland\, Baltimore\, MD",PRJNA533595,SAMN11461806,Human,11323935780,HARVARD UNIVERSITY,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX5761369,Illumina HiSeq 2500,donor 4,364-1-A,PAIRED,RANDOM,GENOMIC,Homo sapiens,ILLUMINA,2021-02-02T00:00:00Z,Brain 3 Prefrontal Cortex Neuron Cell 1 (364-1),2019-04-28T17:24:00Z,1,364-1,single cell,female,SRP194057,prefrontal cortex,neuron,
